Timestamp,Informed Consent,What is your age?,Please select your gender,Do you have any significant uncorrected impairments affecting your vision? ,Do you have any significant  uncorrected  impairments affecting your hearing?  ,Do you have any significant uncorrected impairments affecting your movement?   ,"What Degree are you Studying? If you have completed your study, please indicate the subject of your degree. If you have not undertaken a degree please put N/A.",Have you interacted with a robot before? ,"If yes, what kind of robot(s) have you interacted with? (select all that apply) ",How frequently do you interact with robots in your daily life? ,How would you rate your overall interest in Robotics and AI technology?,How comfortable are you being near a robot? (e.g. walking past one),What is the closest distance that you would feel comfortable standing next to a robot?,Would you be comfortable if a robot approached you in a public setting? (e.g. museum or airport),Would you trust a robot to guide you around a museum so it can explain artwork to you?,Would you follow a robot that was guiding to a destination? ,What would make you feel more comfortable interacting with a robot guide? (Select all that apply),"Have you ever seen or interacted with a robot in a public space? (e.g. Shopping centre, museum, hospital)","If yes, what was your impression of that robot?",Do you think robots can improve the visitor experience in museums? Why or why not?  ,Do you have any concerns about robots in public or social environments? 
8/28/2025 21:19:34,I consent to participate in the survey,23-27,Female,No,No,No,Education,Yes,"AI Home assistant (e.g. Alexa, Google Home), Social/service robot (e.g Pepper, Temi)",Rarely (few times a year),3,5,less than 0.5 meters,Depends on how the robot behaves,Yes,"Yes, I would follow","Clear instuctions on the screen, Friendly voice or tone, Slow and careful movements, Ability to ask questions",Yes - Interacted with one,Positive,Yes. It can provide easily accessible information and guidance to make up for human resourcing,"What if they run into elderly or disable people, or scare small kids"
8/28/2025 21:20:43,I consent to participate in the survey,18-22,Male,No,No,No,Bachelor of Engineering ,Yes,"AI Home assistant (e.g. Alexa, Google Home), Social/service robot (e.g Pepper, Temi)",Frequently (once a week or more),4,6,less than 0.5 meters,Depends on how the robot behaves,Yes,"No, I would actively avoid it","Clear instuctions on the screen, Friendly voice or tone, Slow and careful movements, Ability to ask questions, Instant emergency hotline regularly available",Yes - Interacted with one,Neutral,"No, takes away human interaction, although for kids like spitting out basic information would be great. For more complex pieces prefer human ",No
8/28/2025 21:34:16,I consent to participate in the survey,28-32,Female,No,No,No,Mechanical Engineering ,Yes,"AI Home assistant (e.g. Alexa, Google Home), Social/service robot (e.g Pepper, Temi)",Rarely (few times a year),4,6,0.5 - 1 meter,Depends on how the robot behaves,Yes,"Yes, I would follow","Clear instuctions on the screen, Friendly voice or tone, Slow and careful movements, Ability to ask questions",No,Not applicable,"Yes, as they could hold alot of knowledge ",No
8/28/2025 22:31:30,I consent to participate in the survey,18-22,Male,No,No,No,Engineering,Yes,"AI Home assistant (e.g. Alexa, Google Home), Social/service robot (e.g Pepper, Temi), Industrial robot (e.g. Robotic arms, factory robots), Delivery robot (e.g. Food, mail), The soft (sus) robot I'm building",Frequently (once a week or more),6,6,less than 0.5 meters,Yes,Yes,"Yes, I would follow","Clear instuctions on the screen, Friendly voice or tone, Ability to ask questions",Yes - Interacted with one,Positive,Yes cos they make it more engaging,Make sure they don't run over/into lil kids
8/29/2025 6:10:24,I consent to participate in the survey,23-27,Male,No,No,No,Masters in communication science,Yes,"AI Home assistant (e.g. Alexa, Google Home), Industrial robot (e.g. Robotic arms, factory robots)",Frequently (once a week or more),5,6,less than 0.5 meters,No,Yes,"Yes, I would follow","Clear instuctions on the screen, Friendly voice or tone, Slow and careful movements, Ability to ask questions, Human supervision nearby",No,Not applicable,"Sure, as a guide",No
8/29/2025 7:25:15,I consent to participate in the survey,18-22,Female,No,No,No,Bachelor of Mechatronic Engineering ,Yes,"AI Home assistant (e.g. Alexa, Google Home), Industrial robot (e.g. Robotic arms, factory robots)",Ossasionally (once a month),6,6,I am not sure/ depends on the situation,Yes,Yes,"Yes, I would follow","Clear instuctions on the screen, Slow and careful movements, Ability to ask questions",No,Not applicable,Can provide touring services if human guides are not available,Damage done to robots - lack of interaction with others 
8/29/2025 7:53:30,I consent to participate in the survey,23-27,Female,No,No,No,Criminology and forensic science,Yes,"AI Home assistant (e.g. Alexa, Google Home), Delivery robot (e.g. Food, mail)",Rarely (few times a year),4,5,less than 0.5 meters,Yes,Yes,"Yes, I would follow","Clear instuctions on the screen, Friendly voice or tone, Ability to ask questions",Yes - Interacted with one,Neutral,Yes. Can crest a unique experience,No
8/29/2025 8:00:27,I consent to participate in the survey,18-22,Male,No,No,No,Mechanical engineering ,Yes,"AI Home assistant (e.g. Alexa, Google Home), Industrial robot (e.g. Robotic arms, factory robots)",Rarely (few times a year),5,5,0.5 - 1 meter,Yes,Yes,"Yes, I would follow","Clear instuctions on the screen, Friendly voice or tone, Ability to ask questions",Yes - saw one but did not interact,Neutral,"Yes, I believe a robot tour guide could help explain information about the installations or guide visitors to a specific installation they would be interested in.","Not really, only minor issues like how they can sometimes get in the way or if people misuse them they could malfunction. "
8/29/2025 8:27:34,I consent to participate in the survey,18-22,Male,No,No,No,Bachelor of Engineering / Bachelor of Computer Science,Yes,"AI Home assistant (e.g. Alexa, Google Home), Industrial robot (e.g. Robotic arms, factory robots)",Ossasionally (once a month),6,5,I am not sure/ depends on the situation,Depends on how the robot behaves,Yes,depends of context. I'm not following a robot into a back alley or some shady bs,"Clear instuctions on the screen, Human supervision nearby",No,Not applicable,Robot museum would be cool,Children would probably try and ruin it like they ruin everything else
8/29/2025 9:44:23,I consent to participate in the survey,18-22,Female,Yes,No,No,Pharmacy ,Yes,"AI Home assistant (e.g. Alexa, Google Home), Industrial robot (e.g. Robotic arms, factory robots), Delivery robot (e.g. Food, mail), In pharmacy they have some dispensing robots which I have been able to interact with on placements",Ossasionally (once a month),3,4,less than 0.5 meters,Yes,Yes,"Yes, I would follow","Clear instuctions on the screen, Friendly voice or tone, Slow and careful movements, Ability to ask questions, Human supervision nearby",Yes - Interacted with one,Positive,Yes I think it would be good to learn things ,Not at this time
8/29/2025 10:22:28,I consent to participate in the survey,18-22,Female,No,No,No,Engineering ,Yes,"AI Home assistant (e.g. Alexa, Google Home), Social/service robot (e.g Pepper, Temi), Industrial robot (e.g. Robotic arms, factory robots), Delivery robot (e.g. Food, mail)",Frequently (once a week or more),6,5,0.5 - 1 meter,Yes,Yes,"Yes, I would follow","Clear instuctions on the screen, Friendly voice or tone, Slow and careful movements, Ability to ask questions, Human supervision nearby",Yes - saw one but did not interact,Positive,"Yes, they can provide information ","Privacy of data, considerations of those with disabilities or special needs, safety of mechanical components "
8/29/2025 12:17:45,I consent to participate in the survey,28-32,Female,No,No,No,Engineering,Yes,"AI Home assistant (e.g. Alexa, Google Home)",Rarely (few times a year),3,5,less than 0.5 meters,Depends on how the robot behaves,Yes,"Yes, I would follow","Clear instuctions on the screen, Ability to ask questions",Yes - saw one but did not interact,Positive,I think they can if there's a need for them.,Mild concerns about safe usage
8/29/2025 14:23:56,I consent to participate in the survey,53-57,Female,No,No,No,Economics ,Yes,"Delivery robot (e.g. Food, mail)",Rarely (few times a year),3,4,1 - 1.8 meters,Depends on how the robot behaves,Yes,"Yes, I would follow","Friendly voice or tone, Slow and careful movements",Yes - Interacted with one,Positive,Yes especially with improving foot traffic in crowded areas and providing various levels of description depending on a persons level of interest in artworks. ,"Not personally, just ensure they are able to adapt to the various demographic groups that frequent museums and galleries "
8/29/2025 14:39:38,I consent to participate in the survey,48-52,Male,No,No,No,Bachelor of Business ,Yes,"AI Home assistant (e.g. Alexa, Google Home)",Rarely (few times a year),1,6,less than 0.5 meters,Depends on how the robot behaves,No,"Yes, I would follow",None of the above,No,Not applicable,"No, ",No
8/29/2025 14:56:21,I consent to participate in the survey,18-22,Female,No,No,No,Bachelor of Engineering(Honours)/Master of Robotics and AI,Yes,"Delivery robot (e.g. Food, mail)",Rarely (few times a year),6,6,I am not sure/ depends on the situation,Yes,Yes,"Yes, I would follow","Clear instuctions on the screen, Friendly voice or tone, Slow and careful movements",Yes - Interacted with one,Positive,They can help maintain interest and provide another interactive way to engage with the museum experience. People who are too shy to ask questions can ask the robot.,"Maybe just when they malfunction, or the speed that they operate at."
8/29/2025 17:22:14,I consent to participate in the survey,23-27,Male,No,No,No,Master of AI,Yes,Roomba,Ossasionally (once a month),6,6,less than 0.5 meters,Yes,Yes,"Yes, I would follow","Clear instuctions on the screen, Friendly voice or tone, Slow and careful movements, Ability to ask questions",No,Not applicable,Yes if the robot in some way aid the user understanding,No
8/29/2025 17:49:11,I consent to participate in the survey,23-27,Male,No,No,No,Engineering / IT,Yes,"AI Home assistant (e.g. Alexa, Google Home), Social/service robot (e.g Pepper, Temi), Industrial robot (e.g. Robotic arms, factory robots), Delivery robot (e.g. Food, mail)",Frequently (once a week or more),6,6,less than 0.5 meters,Yes,Maybe,"Yes, I would follow","Clear instuctions on the screen, Friendly voice or tone, Slow and careful movements, Ability to ask questions, Human supervision nearby",Yes - Interacted with one,Positive,100% I think they can be more knowledgeable however they shouldn't replace the human aspect,Not particularly but I can understand that it is something that needs further discussion
8/29/2025 19:03:42,I consent to participate in the survey,18-22,Male,No,No,No,Software Engineering,Yes,"AI Home assistant (e.g. Alexa, Google Home), Social/service robot (e.g Pepper, Temi), Industrial robot (e.g. Robotic arms, factory robots)",Rarely (few times a year),6,6,0.5 - 1 meter,Depends on how the robot behaves,Yes,"Yes, I would follow","Clear instuctions on the screen, Ability to ask questions, Human supervision nearby",Yes - Interacted with one,Positive,Ability to serve more people and provide a better experience,Intruding where they are not needed 
8/29/2025 19:53:19,I consent to participate in the survey,18-22,Male,No,No,,bach of IT,Yes,"AI Home assistant (e.g. Alexa, Google Home), Social/service robot (e.g Pepper, Temi), Delivery robot (e.g. Food, mail)",Rarely (few times a year),5,5,less than 0.5 meters,Depends on how the robot behaves,Yes,"Yes, I would follow","Clear instuctions on the screen, Friendly voice or tone, Slow and careful movements, Ability to ask questions, Human supervision nearby",No,Not applicable,"Yes, helps people that speak different languages ",no
8/29/2025 20:59:37,I consent to participate in the survey,18-22,Male,Yes,No,Yes,Bachelors of Engineering,Yes,"AI Home assistant (e.g. Alexa, Google Home), Social/service robot (e.g Pepper, Temi), Industrial robot (e.g. Robotic arms, factory robots), Delivery robot (e.g. Food, mail)",Ossasionally (once a month),6,4,I am not sure/ depends on the situation,Depends on how the robot behaves,Yes,"Yes, I would follow","Clear instuctions on the screen, Friendly voice or tone, Human supervision nearby",Yes - Interacted with one,Neutral,"Yes, if the robot's able to provide more information about the museum's attractions in an engaging manner.",Malfunctions that may cause distress or harm to people. 
8/29/2025 23:55:26,I consent to participate in the survey,23-27,Female,No,No,No,Mechatronics & Industrial Design,Yes,"AI Home assistant (e.g. Alexa, Google Home), Industrial robot (e.g. Robotic arms, factory robots), Delivery robot (e.g. Food, mail)",Ossasionally (once a month),5,6,I am not sure/ depends on the situation,Depends on how the robot behaves,Yes,"Yes, I would follow","Clear instuctions on the screen, Friendly voice or tone, Ability to ask questions",Yes - saw one but did not interact,Neutral,Yeah like a personal tour guide,Skynet?
8/30/2025 21:08:16,I consent to participate in the survey,18-22,Male,No,No,No,Bachelor of Business and property economics ,Yes,"AI Home assistant (e.g. Alexa, Google Home)",Frequently (once a week or more),3,6,less than 0.5 meters,Yes,Yes,"Yes, I would follow","Clear instuctions on the screen, Friendly voice or tone",No,Not applicable,Probably because they know everything ,Not particularly 
8/31/2025 0:09:53,I consent to participate in the survey,18-22,Male,No,No,No,Bachelor of Engineering (Honours) (Computer and Software Systems),Yes,"AI Home assistant (e.g. Alexa, Google Home)",Frequently (once a week or more),6,6,1 - 1.8 meters,Yes,Yes,"Yes, I would follow","Clear instuctions on the screen, Friendly voice or tone, Slow and careful movements, Ability to ask questions",No,Not applicable,True because they are less judgmental as compared to humans.,NO
8/31/2025 7:19:28,I consent to participate in the survey,18-22,Female,No,No,No,Bachelor of humanities/laws,Yes,"AI Home assistant (e.g. Alexa, Google Home), Industrial robot (e.g. Robotic arms, factory robots), Delivery robot (e.g. Food, mail)",Ossasionally (once a month),3,4,0.5 - 1 meter,Depends on how the robot behaves,Maybe,"Yes, I would follow",Human supervision nearby,Yes - saw one but did not interact,Positive,"No, the human element is what makes the museum experience so lovely and cannot be replicated by technology. ",Yes! What if they blow up? 
8/31/2025 8:28:41,I consent to participate in the survey,18-22,Female,No,No,No,Bachelor of Architectural Design,Yes,"AI Home assistant (e.g. Alexa, Google Home), Delivery robot (e.g. Food, mail)",Rarely (few times a year),2,4,0.5 - 1 meter,No,Maybe,"No, I would ignore it","Clear instuctions on the screen, Friendly voice or tone, Human supervision nearby",Yes - saw one but did not interact,Neutral,"Maybe. Robots could help provide an audio description of the museum pieces to visually impaired patrons, however this can be done and is already often done by employees of the museum anyway.",Taking and storing my information without my consent for others’ use
8/31/2025 13:16:27,I consent to participate in the survey,23-27,Female,No,No,No,Bachelor of criminology and criminal justice ,Yes,"AI Home assistant (e.g. Alexa, Google Home)",Ossasionally (once a month),2,1,less than 0.5 meters,Depends on how the robot behaves,Yes,"Yes, I would follow","Clear instuctions on the screen, Friendly voice or tone, Ability to ask questions, Human supervision nearby",Yes - Interacted with one,Neutral,I think they can reduce wait times for questions or short staff,No
8/31/2025 13:21:01,I consent to participate in the survey,33-37,Male,No,No,No,BEng,Yes,"AI Home assistant (e.g. Alexa, Google Home)",Rarely (few times a year),4,6,less than 0.5 meters,Depends on how the robot behaves,Yes,"Yes, I would follow","Clear instuctions on the screen, Friendly voice or tone, Slow and careful movements, Ability to ask questions",Yes - saw one but did not interact,Neutral,"Interactive robots are likely to be a novel experience for many people, though the experience could be negative depending on the persons views on robotics/AI",No
8/31/2025 13:24:39,I consent to participate in the survey,53-57,Female,No,No,No,"Economics, Education ",Yes,"AI Home assistant (e.g. Alexa, Google Home), Social/service robot (e.g Pepper, Temi), Delivery robot (e.g. Food, mail), BeeBots",Frequently (once a week or more),5,6,I am not sure/ depends on the situation,Yes,Yes,"Yes, I would follow","Clear instuctions on the screen, Friendly voice or tone, Slow and careful movements, Ability to ask questions",Yes - Interacted with one,Positive,"Yes, have used robot guides in overseas museums. They can give a lot of information  but still better to have a human guide who is responsive to visitors interests and questions. Perhaps robot programming can become more responsive giving a varied visitor experience in response to questions about each exhibit/galley. ","Many of the robots I have observed in overseas hotels (used for room delivery) and shopping centers (cleaning) were a little ‘clunky’ when it came to avoiding humans, some ‘demanded’ right of way getting into elevator. "
8/31/2025 13:28:52,I consent to participate in the survey,33-37,Male,No,No,No,Engineering,Yes,"AI Home assistant (e.g. Alexa, Google Home), Social/service robot (e.g Pepper, Temi), Industrial robot (e.g. Robotic arms, factory robots), Delivery robot (e.g. Food, mail)",Frequently (once a week or more),6,6,less than 0.5 meters,Depends on how the robot behaves,Yes,"Yes, I would follow","Friendly voice or tone, Ability to ask questions, Human supervision nearby, Human speed movements.",Yes - Interacted with one,Positive,Translation for all languages. Correct info,Robot safety.
8/31/2025 14:28:10,I consent to participate in the survey,48-52,Female,No,No,No,Social science,No,Glitch in survey. I have not interacted with robots however survey requires me to complete this question,Never,3,3,less than 0.5 meters,Yes,Yes,"Yes, I would follow","Clear instuctions on the screen, Friendly voice or tone, Ability to ask questions",No,Not applicable,Yes. They would contain more ‘at hand’ knowledge than average human guide,Loss of human interaction and employment 
8/31/2025 22:29:01,I consent to participate in the survey,18-22,Male,Yes,No,No,Film and Law,Yes,"AI Home assistant (e.g. Alexa, Google Home)",Frequently (once a week or more),4,5,I am not sure/ depends on the situation,Yes,Yes,"Yes, I would follow","Clear instuctions on the screen, Friendly voice or tone, Ability to ask questions",No,Not applicable,Yes for for those who do not wish to interact with a human.,Elimination of human jobs. 
9/1/2025 12:00:52,I consent to participate in the survey,43-47,Female,No,No,No,N/A,Yes,Autonomous vehicles ,Rarely (few times a year),3,4,I am not sure/ depends on the situation,Depends on how the robot behaves,Yes,"No, I would ignore it","Clear instuctions on the screen, Human supervision nearby",Yes - saw one but did not interact,Neutral,Sometimes depending on how interested the person is ,Same as people can be unpredictable 
9/1/2025 12:15:11,I consent to participate in the survey,43-47,Female,No,No,No,N/A,Yes,"Delivery robot (e.g. Food, mail)",Rarely (few times a year),5,6,less than 0.5 meters,Depends on how the robot behaves,Yes,"Yes, I would follow","Clear instuctions on the screen, Friendly voice or tone, Ability to ask questions",Yes - Interacted with one,Positive,"Most likely, if there are more available to interact with visitors than the limited human counterparts you usually encounter ",Nothing factual. 
9/1/2025 16:14:54,I consent to participate in the survey,18-22,Male,No,No,No,N/A,Yes,"AI Home assistant (e.g. Alexa, Google Home)",Frequently (once a week or more),2,6,I am not sure/ depends on the situation,Yes,Yes,"Yes, I would follow","Clear instuctions on the screen, Friendly voice or tone, Slow and careful movements, Ability to ask questions, Human supervision nearby",No,Not applicable,"Sure, they can lead people around",Nah they’re cool
9/1/2025 16:16:08,I consent to participate in the survey,23-27,Male,No,No,No,Bachelor of Information Technology (Computer Science),Yes,"AI Home assistant (e.g. Alexa, Google Home), Social/service robot (e.g Pepper, Temi), Industrial robot (e.g. Robotic arms, factory robots)",Frequently (once a week or more),6,5,I am not sure/ depends on the situation,Depends on how the robot behaves,Maybe,"Yes, I would follow","Clear instuctions on the screen, Friendly voice or tone, Slow and careful movements, Ability to ask questions, Human supervision nearby, Designed to have natural interaction. Additionaly, I believe there is no reason for robots to look like humans, this makes them look unsettling.",Yes - saw one but did not interact,Positive,I think it is possible for those seeking a guided experience.,They should be natural in their implementation and not cause people to be uncomfortable. I think they can be extremely helpful otherwise.
9/1/2025 18:05:54,I consent to participate in the survey,18-22,Female,No,No,No,Bachelor of mechanical engineering ,Yes,"AI Home assistant (e.g. Alexa, Google Home), Delivery robot (e.g. Food, mail)",Rarely (few times a year),4,5,0.5 - 1 meter,Depends on how the robot behaves,Yes,"Yes, I would follow","Clear instuctions on the screen, Friendly voice or tone, Slow and careful movements, Ability to ask questions",Yes - saw one but did not interact,Positive,I think they could provide and be able to recall interesting information but I think they would lack the empathy that human museum guides can provide ,Robots taking away job opportunities 
9/1/2025 19:32:13,I consent to participate in the survey,48-52,Female,No,No,No,Bachelor nursing,Yes,"Delivery robot (e.g. Food, mail)",Rarely (few times a year),3,6,less than 0.5 meters,Yes,Yes,"Yes, I would follow","Clear instuctions on the screen, Friendly voice or tone, Ability to ask questions",No,Not applicable,Yes because they can have all of the information but no because they lack passion,As long as they’re not armed
9/1/2025 19:39:08,I consent to participate in the survey,18-22,Male,Yes,No,No,N/A,Yes,"AI Home assistant (e.g. Alexa, Google Home)",Rarely (few times a year),0,4,0.5 - 1 meter,No,No,"No, I would ignore it",None of the above,Yes - saw one but did not interact,Negative,No- social interaction is vital to human development and robots cannot embody the passion and care when engrossed in a topic or art form that a human can ,I have a lot. I am concerned about the growing dependence on interactive robots instead of critical thinking and social interaction. I reject its use in replace of arts and media and social interaction especially. 
9/1/2025 19:55:15,I consent to participate in the survey,23-27,Male,No,No,No,Mechatronics Engineering (completed),Yes,"Social/service robot (e.g Pepper, Temi), Industrial robot (e.g. Robotic arms, factory robots)",Frequently (once a week or more),4,6,less than 0.5 meters,Yes,Yes,"Yes, I would follow",Ability to ask questions,Yes - Interacted with one,Negative,Yes but they require a flair beyond simply stating history books.,No
9/2/2025 20:07:55,I consent to participate in the survey,18-22,Female,No,No,No,Bachelor of Engineering ,Yes,"AI Home assistant (e.g. Alexa, Google Home)",Frequently (once a week or more),5,6,less than 0.5 meters,Depends on how the robot behaves,Yes,"Yes, I would follow","Friendly voice or tone, Slow and careful movements, Ability to ask questions",Yes - Interacted with one,Positive,Just have them to be accessed easier ,Nope
9/2/2025 20:09:03,I consent to participate in the survey,18-22,Female,No,Yes,No,Psychology ,Yes,"AI Home assistant (e.g. Alexa, Google Home)",Rarely (few times a year),3,6,less than 0.5 meters,Yes,No,"Yes, I would follow","Clear instuctions on the screen, Friendly voice or tone, Slow and careful movements, Ability to ask questions",Yes - saw one but did not interact,Neutral,Maybe to supplement information about exhibits ,No
9/2/2025 20:22:00,I consent to participate in the survey,38-42,Female,No,No,No,Civil Engineering / Architecture,Yes,"AI Home assistant (e.g. Alexa, Google Home), Social/service robot (e.g Pepper, Temi), Delivery robot (e.g. Food, mail)",Rarely (few times a year),5,4,1 - 1.8 meters,Depends on where I am,Yes,"Yes, if I asked, but no if I didn't ask","Clear instuctions on the screen, Slow and careful movements, Ability to ask questions, Human supervision nearby",Yes - saw one but did not interact,Neutral,"I believe they can. Robots can enhance the visitor experience in museums by providing interactive guides, personalised information, and engaging storytelling that make exhibits more accessible and memorable. However, they risk reducing the authenticity of human connection and may not appeal to all visitors, especially those less comfortable with technology.","Every interaction or observation I have had when seeing a robot in a public or social environment has always been positive and intriguing. However, some concerns that come to mind are safety, privacy and ethical issues, particularly around replacing human interaction in sensitive settings. There are also worries about accessibility, social exclusion, job displacement, and the need for clear regulation and accountability."
